"","State","Year","PacksPerCapita","treated"
"1","Alabama",1970,89.80000305,0
"2","Arkansas",1970,100.3000031,0
"3","Colorado",1970,124.8000031,0
"4","Connecticut",1970,120,0
"5","Delaware",1970,155,0
"6","Georgia",1970,109.9000015,0
"7","Idaho",1970,102.4000015,0
"8","Illinois",1970,124.8000031,0
"9","Indiana",1970,134.6000061,0
"10","Iowa",1970,108.5,0
"11","Kansas",1970,114,0
"12","Kentucky",1970,155.8000031,0
"13","Louisiana",1970,115.9000015,0
"14","Maine",1970,128.5,0
"15","Minnesota",1970,104.3000031,0
"16","Mississippi",1970,93.40000153,0
"17","Missouri",1970,121.3000031,0
"18","Montana",1970,111.1999969,0
"19","Nebraska",1970,108.0999985,0
"20","Nevada",1970,189.5,0
"21","New Hampshire",1970,265.7000122,0
"22","New Mexico",1970,90,0
"23","North Carolina",1970,172.3999939,0
"24","North Dakota",1970,93.80000305,0
"25","Ohio",1970,121.5999985,0
"26","Oklahoma",1970,108.4000015,0
"27","Pennsylvania",1970,107.3000031,0
"28","Rhode Island",1970,123.9000015,0
"29","South Carolina",1970,103.5999985,0
"30","South Dakota",1970,92.69999695,0
"31","Tennessee",1970,99.80000305,0
"32","Texas",1970,106.4000015,0
"33","Utah",1970,65.5,0
"34","Vermont",1970,122.5999985,0
"35","Virginia",1970,124.3000031,0
"36","West Virginia",1970,114.5,0
"37","Wisconsin",1970,106.4000015,0
"38","Wyoming",1970,132.1999969,0
"39","California",1970,123,0
"40","Alabama",1971,95.40000153,0
"41","Arkansas",1971,104.0999985,0
"42","Colorado",1971,125.5,0
"43","Connecticut",1971,117.5999985,0
"44","Delaware",1971,161.1000061,0
"45","Georgia",1971,115.6999969,0
"46","Idaho",1971,108.5,0
"47","Illinois",1971,125.5999985,0
"48","Indiana",1971,139.3000031,0
"49","Iowa",1971,108.4000015,0
"50","Kansas",1971,102.8000031,0
"51","Kentucky",1971,163.5,0
"52","Louisiana",1971,119.8000031,0
"53","Maine",1971,133.1999969,0
"54","Minnesota",1971,116.4000015,0
"55","Mississippi",1971,105.4000015,0
"56","Missouri",1971,127.5999985,0
"57","Montana",1971,115.5999985,0
"58","Nebraska",1971,108.5999985,0
"59","Nevada",1971,190.5,0
"60","New Hampshire",1971,278,0
"61","New Mexico",1971,92.59999847,0
"62","North Carolina",1971,187.6000061,0
"63","North Dakota",1971,98.5,0
"64","Ohio",1971,124.5999985,0
"65","Oklahoma",1971,115.4000015,0
"66","Pennsylvania",1971,106.3000031,0
"67","Rhode Island",1971,123.1999969,0
"68","South Carolina",1971,115,0
"69","South Dakota",1971,96.69999695,0
"70","Tennessee",1971,106.3000031,0
"71","Texas",1971,108.9000015,0
"72","Utah",1971,67.69999695,0
"73","Vermont",1971,124.4000015,0
"74","Virginia",1971,128.3999939,0
"75","West Virginia",1971,111.5,0
"76","Wisconsin",1971,105.4000015,0
"77","Wyoming",1971,131.6999969,0
"78","California",1971,121,0
"79","Alabama",1972,101.0999985,0
"80","Arkansas",1972,103.9000015,0
"81","Colorado",1972,134.3000031,0
"82","Connecticut",1972,110.8000031,0
"83","Delaware",1972,156.3000031,0
"84","Georgia",1972,117,0
"85","Idaho",1972,126.0999985,0
"86","Illinois",1972,126.5999985,0
"87","Indiana",1972,149.1999969,0
"88","Iowa",1972,109.4000015,0
"89","Kansas",1972,111,0
"90","Kentucky",1972,179.3999939,0
"91","Louisiana",1972,125.3000031,0
"92","Maine",1972,136.5,0
"93","Minnesota",1972,96.80000305,0
"94","Mississippi",1972,112.0999985,0
"95","Missouri",1972,130,0
"96","Montana",1972,122.1999969,0
"97","Nebraska",1972,104.9000015,0
"98","Nevada",1972,198.6000061,0
"99","New Hampshire",1972,296.2000122,0
"100","New Mexico",1972,99.30000305,0
"101","North Carolina",1972,214.1000061,0
"102","North Dakota",1972,103.8000031,0
"103","Ohio",1972,124.4000015,0
"104","Oklahoma",1972,121.6999969,0
"105","Pennsylvania",1972,109,0
"106","Rhode Island",1972,134.3999939,0
"107","South Carolina",1972,118.6999969,0
"108","South Dakota",1972,103,0
"109","Tennessee",1972,111.5,0
"110","Texas",1972,108.5999985,0
"111","Utah",1972,71.30000305,0
"112","Vermont",1972,138,0
"113","Virginia",1972,137,0
"114","West Virginia",1972,117.5,0
"115","Wisconsin",1972,108.8000031,0
"116","Wyoming",1972,140,0
"117","California",1972,123.5,0
"118","Alabama",1973,102.9000015,0
"119","Arkansas",1973,108,0
"120","Colorado",1973,137.8999939,0
"121","Connecticut",1973,109.3000031,0
"122","Delaware",1973,154.6999969,0
"123","Georgia",1973,119.8000031,0
"124","Idaho",1973,121.8000031,0
"125","Illinois",1973,124.4000015,0
"126","Indiana",1973,156,0
"127","Iowa",1973,110.5999985,0
"128","Kansas",1973,115.1999969,0
"129","Kentucky",1973,201.8999939,0
"130","Louisiana",1973,126.6999969,0
"131","Maine",1973,138,0
